prompt,intent
quickly i want to call mom,open_call
can you flashlight please,open_flashlight
hmm make a phone call ring,open_call
quickly start playlist,open_music
sleep tracking section,open_sleep_tracker
quickly flashlight please,open_flashlight
please open calculator,open_calculator
quickly make a phone call phone,open_call
i want to take a selfie snap,open_camera
i need an alarm,open_alarm
flashlight please flashlight,open_flashlight
uh need calculator quickly,open_calculator
quickly need flashlight,open_flashlight
calculate something,open_calculator
can you call doctor,open_call
uh solve this equation,open_calculator
need some music,open_music
need to call someone,open_call
hey email office compose,open_mail
log my water,open_water_tracker
water tracking section,open_water_tracker
please turn on flash torch,open_flashlight
can you make a phone call phone,open_call
flashlight please,open_flashlight
i want to go for a run,open_running
uh turn on flashlight,open_flashlight
hey open inbox,open_mail
hey open music player,open_music
hmm running mode,open_running
turn on flashlight torch,open_flashlight
hey can you call doctor,open_call
hmm sleep report,open_sleep_tracker
uh open alarm,open_alarm
hmm alarm section please,open_alarm
calculate 100 divided by 4,open_calculator
call friend,open_call
contact dad,open_call
uh i want music,open_music
track water intake,open_water_tracker
hmm make a phone call ring,open_call
turn on flashlight,open_flashlight
please please make a call,open_call
please open alarm alarm,open_alarm
contact friend,open_call
please call doctor,open_call
hey call dad,open_call
quickly check my inbox mail,open_mail
please make a call,open_call
open calling section,open_call
open calculator,open_calculator
can you switch on phone light torch,open_flashlight
hmm how much water did i drink,open_water_tracker
uh need camera quickly,open_camera
please need calculator quickly,open_calculator
uh need calculator quickly,open_calculator
quickly need calculator quickly,open_calculator
hmm write an email,open_mail
uh please make a call,open_call
hey open camera picture,open_camera
uh i want music,open_music
uh water tracking section,open_water_tracker
quickly flashlight please flashlight,open_flashlight
need calculator quickly,open_calculator
flashlight please flash,open_flashlight
hmm i want music,open_music
can you contact doctor,open_call
take a picture,open_camera
can you calculate 100 divided by 4,open_calculator
hmm phone mom,open_call
hmm click a photo,open_camera
hmm camera mode,open_camera
log my water,open_water_tracker
start playlist,open_music
please need flashlight,open_flashlight
can you camera mode selfie,open_camera
quickly set a timer,open_alarm
please set alarm for 7 am,open_alarm
hmm begin jogging,open_running
email manager,open_mail
uh start jog session,open_running
quickly turn on flashlight,open_flashlight
hmm monitor sleep quality,open_sleep_tracker
can you play some songs song,open_music
monitor sleep quality,open_sleep_tracker
dial brother,open_call
quickly play music,open_music
hey i need an alarm wake,open_alarm
can you how much water did i drink water,open_water_tracker
call friend,open_call
can you contact friend,open_call
set a timer,open_alarm
i want to call office,open_call
uh track water intake,open_water_tracker
i want music,open_music
can you i want to send mail to friend,open_mail
please set a timer,open_alarm
quickly need calculator quickly math,open_calculator
write an email,open_mail
can you turn on flashlight,open_flashlight
uh check my inbox compose,open_mail
quickly show sleep stats,open_sleep_tracker
write an email,open_mail
please start playlist,open_music
uh start timer,open_alarm
please record water intake water,open_water_tracker
uh compose a mail,open_mail
uh switch on phone light,open_flashlight
quickly switch on phone light,open_flashlight
can you start running,open_running
take a picture snap,open_camera
quickly calculate 100 divided by 4,open_calculator
uh need camera quickly,open_camera
hmm i want to call dad contact,open_call
how much water did i drink,open_water_tracker
track my sleep,open_sleep_tracker
hey dial mom,open_call
show bedtime tracking,open_sleep_tracker
help me do math,open_calculator
put on songs,open_music
uh turn on flashlight flash,open_flashlight
hey put on songs,open_music
need calculator quickly,open_calculator
hmm switch on phone light,open_flashlight
hmm calculate 100 divided by 4 calculate,open_calculator
please make a call,open_call
please show bedtime tracking,open_sleep_tracker
uh check my inbox compose,open_mail
hmm compose a mail,open_mail
write an email,open_mail
please send an email,open_mail
can you wake me at 7 am,open_alarm
can you play music,open_music
uh play audio,open_music
i want to call sir phone,open_call
hey play audio,open_music
i want to call mom,open_call
please alarm section please,open_alarm
begin jogging,open_running
hmm turn on flashlight,open_flashlight
alarm section please reminder,open_alarm
can you play music song,open_music
can you need calculator quickly,open_calculator
hey play music,open_music
please contact sir,open_call
uh switch on phone light flash,open_flashlight
quickly sleep tracking section,open_sleep_tracker
uh turn on flashlight,open_flashlight
hmm phone doctor,open_call
hey open calling section,open_call
please running mode,open_running
can you write an email,open_mail
hmm check my inbox,open_mail
alarm section please,open_alarm
hey i need an alarm,open_alarm
can you please make a call,open_call
i need an alarm,open_alarm
need calculator quickly,open_calculator
quickly open camera,open_camera
set a timer,open_alarm
need to call someone,open_call
quickly please make a call,open_call
mail section please,open_mail
uh turn on flashlight,open_flashlight
uh play music track,open_music
quickly compose a mail,open_mail
hmm send an email,open_mail
can you call brother,open_call
can you start running distance,open_running
can you hydration tracker,open_water_tracker
